Categoria,Esposizione,Nome,Dimensioni (cm),Terreno,Caratteristiche,Utilizzazione,Fioritura (mesi)
Perenni arancio – basse (fino a cm 30),soleggiata,Gazania splendens (composita),"altezza 20-30, diametro 30","fertile, permeabile, sabbioso","foglie spatolate con pagina inferiore argentata; margherite con macchie bianche e nere","bordura, tappezzante","VI-IX"
Perenni arancio – medie (da cm 30 a 60),soleggiata,Alchechengi (solanacea),"altezza 50-60, diametro 40","fertile, sciolto","foglie tenere, ovali, smarginate; fiori insignificanti; involucri dei frutti decorativi","bordura, gruppi","VIII-IX"
Perenni arancio – medie (da cm 30 a 60),soleggiata,Potentilla nepalensis (rosacea),"altezza 40, diametro 40","medio impasto","foglie digitate, dentate; fiori semplici","bordura, gruppi","VI-VIII"
Perenni arancio – medie (da cm 30 a 60),soleggiata,Tagete lucida (composita non rustica),"altezza 30-50, diametro 30","medio impasto","foglie lanceolate, dentate; margherite semplici o doppie con macchie scure","aiuola, bordura, gruppi","VI-IX"
Perenni arancio – alte (oltre cm 60),soleggiata,Phlox decussata o paniculata (polmoniacea),"altezza 60-80, diametro 50-60","fertile, fresco","foglie lanceolate; fiori in pannocchie ovali","aiuola, bordura, gruppi, fiori da recidere","VI-VIII"
Perenni arancio – alte (oltre cm 60),soleggiata,Gaillardia (composita semirustica),"altezza 50-60, diametro 50-60","fertile, sciolto","foglie lanceolate, grigio-verdi; margherite semplici o doppie con varie sfumature","bordura, gruppi, fiori da recidere","VI-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea ageratifolia,"altezza 10, diametro 30","sciolto","foglie ovali argentee; capolini a mazzetti","bordura, tappezzante","VII-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea moschata,"altezza 15, diametro 30","sciolto","foglie suddivise; margherite a mazzetti","bordura, tappezzante","VI-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Achillea umbellata,"altezza 15, diametro 30","sciolto","foglie vellutate, argentee; capolini a mazzetti","bordura, tappezzante","VI-IX"
Perenni bianche – basse (fino a cm 30),mezz’ombra,Ajuga reptans (labiate),"altezza 10, diametro 30","sciolto, calcareo","foglie lineari, dentate, lucide; fiori in spighe","tappezzante","V-VI"
Perenni bianche – basse (fino a cm 30),soleggiata,Alyssum maritimum (crucifera),"altezza 10-20, diametro 30","medio impasto","foglie lineari, grigiastra; fiori a mazzetti","bordura, tappezzante","VI-IX"
Perenni bianche – basse (fino a cm 30),soleggiata,Anacyclus abida (composita),"altezza 10-20, diametro 30","fertile, sabbioso","foglie dentate, biancastre; fiori a margherita","bordura, tappezzante","IV-V"
Perenni bianche – basse (fino a cm 30),soleggiata,Androsace alpina (primulacea),"altezza 10, diametro 30","sciolto","foglie rotonde, pelose; fiori a mazzetti densi","bordura, tappezzante","IV-V"
Perenni bianche – basse (fino a cm 30),soleggiata,Anthemis alpina (composita),"altezza 10-20, diametro 40","medio impasto","foglie ovali; margherite semplici o doppie, bianco e rosa","bordura, tappezzante","IV-VI"
