Categoria,Esposizione,Nome comune,Nome scientifico,Famiglia botanica,Dimensioni (m),Colore dei fiori,Fioritura (mesi)
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Cobaea,Cobaea,polemoniacea,"altezza 6","blu-violetto","VII-X"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Convolvolo o Campanella,Convolvulus,convolvulacea,"altezza 2","porpora, azzurro","VI-X"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Dolico,Dolichos,leguminosa,"altezza 5","porpora, violetto, bianco","VII-IX"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Ipomea,Ipomea,convolvulacea,"altezza 5","tutti i colori","VII-IX"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Luppolo,Humulus lupulus,canabiacea,"altezza 10","verde, giallastro (brattee)","VII-VIII"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Pisello odoroso,Lathyrus odoratus,papilionacea,"altezza 3","rosa, rosso, porpora, violetto, bianco, giallo","V-VIII"
Rampicanti annuali (vivaci o perenni nei climi miti),soleggiata,Quamoclit,Quamoclit,convolvulacea,"altezza 5","rosso-arancio, rosso-ciliegia, rosa","VII-IX"
Rampicanti perenni spoglianti,mezz’ombra,Campsis o Trombetta rossa,Campsis,bignoniacea,"altezza 12","rosso chiaro","VII-IX"
Rampicanti perenni spoglianti,mezz’ombra,Clematide,Clematis,ranuncolacea,"altezza 10","azzurro-violetto, rosa, lilla, bianco","IV-VII"
Rampicanti perenni spoglianti,soleggiata,Gelsomino officinale,Jasminum officinalis,oleacea,"altezza 4","bianco","VI-X"
Rampicanti perenni spoglianti,soleggiata,Glicine,Wistaria,papilionacea,"altezza 15","azzurro-violetto, bianco, rosa","V-VI"
Rampicanti perenni spoglianti,mezz’ombra,Ortensia petiolaris,Hydrangea,sassifragacea,"altezza 20","bianco","VI-VII"
Rampicanti perenni spoglianti,soleggiata,Poligono,Polygonum,poligonacea,"altezza 15","bianco","VII-X"
Rampicanti perenni spoglianti,mezz’ombra,Rosa,Rosa,rosacea,"altezza 10","tutti i colori, tranne azzurro-blu","V-IX"
Rampicanti perenni spoglianti,mezz’ombra,Vite del Canada,Ampelopsis - Parthenocissus,vitacea,"altezza 25","fogliame rosso in autunno","—"
