Categoria,Esposizione,Nome comune,Nome scientifico,Famiglia botanica,Dimensioni (m),Colore dei fiori,Terreno,Fioritura (mesi)
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Albero dei tulipani,Liriodendron,magnoliacea semirustica,"altezza 30, diametro 10","verdastro, arancio","organico, sabbioso","V-VI"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Albero di Giuda,Cercis siliquastrum,papilionacea,"altezza 6, diametro 4","rosa, porpora","medio impasto","IV-V"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Amamelide,Hamamelis,amamelidacea,"altezza 3, diametro 2,5","giallo, rosso","organico, fresco","I-III"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Calicanto,Calicanthus,calicantacea,"altezza 2,5, diametro 2,5","giallo (inverno), porpora (estate)","soffice, permeabile","VI-VIII"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Catalpa,Catalpa,bignoniacea,"altezza 15, diametro 10","bianco, giallastro, porpora","medio impasto","VII-VIII"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Ciliegio da fiore,Prunus,rosacea semirustico,"altezza 20, diametro 10","bianco, rosa","soffice, fresco","IV-V"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Clerodendro,Clerodendron,verbenacea semirustico,"altezza 3, diametro 1,5","bianco, rosa","organico, sabbioso","IX-X"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Corniolo,Cornus,cornacea,"altezza 10, diametro 4","bianco, rosa","medio impasto","V-VII"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Deutzia,Deutzia,sassifragacea,"altezza 1,5, diametro 2","bianco, rosa","medio impasto","V-VII"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Forsizia,Forsythia,oleacea,"altezza 2,5, diametro 2,5","giallo","medio impasto","III-IV"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Fucsia,Fuchsia,onagracea non rustica,"altezza 4, diametro 2","porpora-blu, porpora-bianco","organico, sabbioso","VI-X"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Gaggia di Costantinopoli,Albizzia,mimosacea non rustica,"altezza 12, diametro 8","rosa","medio impasto","VI"
Alberi e arbusti spoglianti con fiori – latifoglie,soleggiata,Ginestra,Genista / Cytisus / Spartium,papilionacea,"altezza 5, diametro 2,5","giallo, bianco","sabbioso, acido","V-VII"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Ibisco siriaco,Hibiscus syriacus,malvacea,"altezza 4, diametro 2,5","bianco, rosa, porpora, viola, azzurro","organico, soffice","VI-X"
Alberi e arbusti spoglianti con fiori – latifoglie,mezz’ombra,Ippocastano,Aesculus,ippocastanacea,"altezza 25, diametro 8","bianco, rosa","medio impasto, fresco","V-VI"
