Categoria,Esposizione,Nome,Dimensioni (m),Colore del fogliame (sempre),Colore del fogliame (in autunno),Terreno
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,mezz’ombra,Catalpa (Catalpa) (bignoniacea),"altezza 15, diametro 10","giallo vivo, marrone","—","medio impasto"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Cerro (Quercus cerris) (fagacea),"altezza 35, diametro 20","—","giallo oro, bronzo, mattone","soffice, non calcareo"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Corniolo (Cornus) (cornacea),"altezza 10, diametro 4","variegato di verde, bianco, rosa","giallo, arancio-scarletto","medio impasto"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,ombra,Faggio (Fagus) (fagacea),"altezza 40, diametro 10","rosso","giallo oro in varie tonalità","organico, calcareo"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Farnia (Quercus robur) (fagacea),"altezza 25, diametro 15","—","giallo oro, bronzo","medio impasto"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Frassino (Fraxinus) (oleacea),"altezza 40, diametro 15","—","mattone","soffice, non calcareo"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,ombra,Gelso (Morus nigra) (moracea),"altezza 12, diametro 8","—","giallo, ruggine","medio impasto, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Ginkgo (Ginkgo biloba) (ginkgoacea),"altezza 30, diametro 10","—","giallo oro scuro","medio impasto, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Ippocastano (Aesculus) (ippocastanacea),"altezza 25, diametro 15","—","ocra intenso","medio impasto, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,mezz’ombra,Lagerstroemia (Lagerstroemia) (litracea semirustica),"altezza 6, diametro 4","—","giallo rossiccio","organico, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,mezz’ombra,Larice (Larix) (conifera),"altezza 40, diametro 10","—","rosso, bruno, dorato","soffice, fresco, non calcareo"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Liquidambar (Liquidambar),"altezza 40, diametro 15","—","arancio vivo, scarlatto","medio impasto"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Nocciolo (Corylus avellana) (betulacea),"altezza 5, diametro 4","rosso cupo","bronzo","soffice, fresco, non calcareo"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Noce (Juglans regia) (juglandacea),"altezza 30, diametro 10","—","bronzo, oro","medio impasto, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Olmo (Ulmus) (olmacea),"altezza 15, diametro 8","—","giallo cupo","organico, argilloso"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Ontano (Alnus) (betulacea),"altezza 25, diametro 8","—","giallo oro, arancio","soffice, umido"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Pioppo (Populus) (salicacea),"altezza 30, diametro 15","—","giallo vivo","sciolto, umido"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Platano (Platanus) (platanacea),"altezza 30, diametro 12","—","bronzo, oro, marrone","argilloso, calcareo, fresco"
Alberi e arbusti spoglianti a fogliame decorativo – latifoglie,soleggiata,Pruno (Prunus pissard) (rosacea),"altezza 20, diametro 10","rosso cupo","bronzo","soffice, fresco"
