Categoria,Esposizione,Nome comune,Nome scientifico,Famiglia botanica,Dimensioni (m),Epoca della fruttificazione,Colore dei fiori,Terreno
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Agrifoglio,Ilex aquifolium,aquifoliacea,"altezza 8, diametro 6","estate, autunno, inverno","rosso","sciolto, fresco"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,soleggiata,Alloro,Laurus,lauracea,"altezza 5, diametro 4","estate","porpora","medio impasto"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Aucuba,Aucuba,cornacea,"altezza 4, diametro 2","estate","rosso","soffice, permeabile"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Corbezzolo,Arbutus,ericacea semirustico,"altezza 6, diametro 3","estate, autunno","rosso, arancio","sciolto, non calcareo"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Cotognastro,Cotoneaster,rosacea,"altezza 4, diametro 3","estate, autunno, inverno","rosso, nero","soffice, permeabile"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Crespino,Berberis,berberidacea,"altezza 4, diametro 2","estate, autunno","corallo, rosso, porpora, blu, nero","medio impasto"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Eleagno,Elaeagnus,elaeagnacea,"altezza 3,5, diametro 2,5","autunno","rosso, arancio","sabbioso"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Evonimo,Evonimus,celastracea,"altezza 5, diametro 2","estate, autunno","rosa, arancio","medio impasto, permeabile"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,soleggiata,Falso pepe,Schinus,anacardiacea non rustico,"altezza 10, diametro 5","estate, autunno, inverno","rosa vivo","medio impasto"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,soleggiata,Kumquat,Kumquat,rutacea non rustico,"altezza 4, diametro 2,5","autunno","arancio vivo","organico, sciolto"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Lauroceraso,Laurocerasus,rosacea,"altezza 15, diametro 6","estate, autunno","nero","soffice, fresco"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Maonia,Mahonia,berberidacea,"altezza 2, diametro 3","estate","blu","medio impasto, permeabile"
