Categoria,Esposizione,Nome comune,Nome scientifico,Famiglia botanica,Dimensioni (m),Epoca della fruttificazione,Colore dei frutti,Terreno
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Pungitopo,Ruscus aculeatus,liliacea,"altezza 0.80, diametro 0.60","autunno, inverno","rosso","organico, sabbioso"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,soleggiata,Mirto,Myrtus,myrtacea,"altezza 1.5, diametro 1.5","estate","porpora cupo","organico, sabbioso"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Pernettya,Pernettya,ericacea semirustico,"altezza 2, diametro 1.5","autunno, inverno","rosso","organico, sabbioso"
Alberi e arbusti sempreverdi con frutti decorativi – latifoglie,mezz’ombra,Pyracantha,Pyracantha,rosacea semirustico,"altezza 7, diametro 5","autunno, inverno","giallo, rosso, porpora","organico, sabbioso"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,mezz’ombra,Quercia,Quercus (Leccio),fagacea,"altezza 12, diametro 4","—","—","sciolto, ricco, permeabile"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,soleggiata,Palmea,Arecacea,arecacea,"altezza 2, diametro 1","—","—","fertile, fresco"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,soleggiata,Ligustro,Ligustrum,oleacea,"altezza 2, diametro 2","—","—","arido, incoerente"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,mezz’ombra,Lentisco,Pistacia lentiscus,anacardiacea non rustico,"altezza 3, diametro 20","—","—","medio impasto"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,mezz’ombra,Leccio,Quercus ilex,fagacea,"altezza 30, diametro 2.5","—","—","sciolto, sabbioso"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,mezz’ombra,Eleagno,Elaeagnus,elaeagnacea,"altezza 6, diametro 2","—","—","compatto, calcareo"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,mezz’ombra,Bosso,Buxus,buxacea,"altezza 8, diametro 2","—","—","fresco, organico"
Alberi e arbusti sempreverdi da fogliame decorativo – latifoglie,soleggiata,Alimo,Atriplex halimus,chenopodiacea non rustico,"altezza 2, diametro 1","—","—","sabbioso, salmastro"
