Categoria,Esposizione,Nome,Specie,Chioma
Conifere nane – a fogliame azzurro,mezz’ombra,Picea abies "gregoryana",abete,a cespuglio
Conifere nane – a fogliame azzurro,mezz’ombra,Picea pungens "montgomery",abete,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Chamaecyparis lawsoniana "knofieldensis",falso cipresso,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Chamaecyparis obtusa "intermedia",falso cipresso,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Cryptomeria japonica "globosa nana",criptomeria,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Cryptomeria japonica "vilmoriniana",criptomeria,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Juniperus procumbens "nana",ginepro,prostrata
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Juniperus recurva "embley park",ginepro,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Picea abies "procumbens",abete,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Pinus nigra "hornibrookiana",pino,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Pinus sylvestris "beuvronensis",pino,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,soleggiata,Thuja occidentalis "hetz midget",tuia,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Tsuga canadensis "bennet",tsuga,a cespuglio
Conifere nane – a fogliame verde chiaro o vivace,mezz’ombra,Tsuga heterophylla,tsuga,piramidale
Conifere nane – a fogliame verde cupo,mezz’ombra,Abies balsamea "hudsonia",abete,a cespuglio
Conifere nane – a fogliame verde cupo,soleggiata,Chamaecyparis nootkatensis "compacta",falso cipresso,a cespuglio
Conifere nane – a fogliame verde cupo,soleggiata,Chamaecyparis obtusa "nana",falso cipresso,a cespuglio
Conifere nane – a fogliame verde cupo,mezz’ombra,Picea abies "nidiformis",abete,a cespuglio
Conifere nane – a fogliame verde cupo,mezz’ombra,Picea abies "reflexa",abete,a cespuglio
Conifere nane – a fogliame verde cupo,soleggiata,Pinus mugo "gnom",pino mugo,a cespuglio
Conifere nane – a fogliame verde cupo,mezz’ombra,Taxus baccata "repandens",tasso,prostrata
